,Rank,Name,Year of Release,IMDB Rating
0,1,The Shawshank Redemption,1994,9.2
1,2,The Godfather,1972,9.1
2,3,The Godfather: Part II,1974,9.0
3,4,The Dark Knight,2008,9.0
4,5,12 Angry Men,1957,8.9
5,6,Schindler's List,1993,8.9
6,7,The Lord of the Rings: The Return of the King,2003,8.9
7,8,Pulp Fiction,1994,8.8
8,9,"The Good, the Bad and the Ugly",1966,8.8
9,10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,11,Fight Club,1999,8.7
11,12,Forrest Gump,1994,8.7
12,13,Inception,2010,8.7
13,14,The Lord of the Rings: The Two Towers,2002,8.7
14,15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,16,The Matrix,1999,8.7
16,17,Goodfellas,1990,8.6
17,18,One Flew Over the Cuckoo's Nest,1975,8.6
18,19,Seven Samurai,1954,8.6
19,20,Se7en,1995,8.6
20,21,Spider-Man: No Way Home,2021,8.6
21,22,The Silence of the Lambs,1991,8.6
22,23,City of God,2002,8.6
23,24,It's a Wonderful Life,1946,8.6
24,25,Life Is Beautiful,1997,8.6
25,26,Saving Private Ryan,1998,8.6
26,27,Star Wars: Episode IV - A New Hope,1977,8.5
27,28,Interstellar,2014,8.5
28,29,Spirited Away,2001,8.5
29,30,The Green Mile,1999,8.5
30,31,Parasite,2019,8.5
31,32,Léon: The Professional,1994,8.5
32,33,Hara-Kiri,1962,8.5
33,34,The Pianist,2002,8.5
34,35,Terminator 2: Judgment Day,1991,8.5
35,36,Back to the Future,1985,8.5
36,37,The Usual Suspects,1995,8.5
37,38,Psycho,1960,8.5
38,39,The Lion King,1994,8.5
39,40,Modern Times,1936,8.5
40,41,Grave of the Fireflies,1988,8.5
41,42,American History X,1998,8.5
42,43,Whiplash,2014,8.5
43,44,Gladiator,2000,8.5
44,45,City Lights,1931,8.5
45,46,The Departed,2006,8.5
46,47,The Intouchables,2011,8.5
47,48,The Prestige,2006,8.5
48,49,Casablanca,1942,8.4
49,50,Once Upon a Time in the West,1968,8.4
50,51,Rear Window,1954,8.4
51,52,Cinema Paradiso,1988,8.4
52,53,Alien,1979,8.4
53,54,Apocalypse Now,1979,8.4
54,55,Memento,2000,8.4
55,56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4
56,57,The Great Dictator,1940,8.4
57,58,Django Unchained,2012,8.4
58,59,The Lives of Others,2006,8.4
59,60,Paths of Glory,1957,8.4
60,61,Sunset Blvd.,1950,8.4
61,62,WALL·E,2008,8.4
62,63,Avengers: Infinity War,2018,8.4
63,64,Witness for the Prosecution,1957,8.4
64,65,Spider-Man: Into the Spider-Verse,2018,8.4
65,66,The Shining,1980,8.4
66,67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
67,68,Princess Mononoke,1997,8.3
68,69,Oldboy,2003,8.3
69,70,Joker,2019,8.3
70,71,Your Name.,2016,8.3
71,72,Coco,2017,8.3
72,73,The Dark Knight Rises,2012,8.3
73,74,Aliens,1986,8.3
74,75,Once Upon a Time in America,1984,8.3
75,76,Avengers: Endgame,2019,8.3
76,77,Capernaum,2018,8.3
77,78,Das Boot,1981,8.3
78,79,High and Low,1963,8.3
79,80,3 Idiots,2009,8.3
80,81,Toy Story,1995,8.3
81,82,Amadeus,1984,8.3
82,83,American Beauty,1999,8.3
83,84,Braveheart,1995,8.3
84,85,Inglourious Basterds,2009,8.3
85,86,Good Will Hunting,1997,8.3
86,87,Hamilton,2020,8.3
87,88,Star Wars: Episode VI - Return of the Jedi,1983,8.3
88,89,Come and See,1985,8.3
89,90,2001: A Space Odyssey,1968,8.3
90,91,Reservoir Dogs,1992,8.3
91,92,Like Stars on Earth,2007,8.3
92,93,Vertigo,1958,8.3
93,94,M,1931,8.3
94,95,The Hunt,2012,8.3
95,96,Citizen Kane,1941,8.3
96,97,Requiem for a Dream,2000,8.3
97,98,Singin' in the Rain,1952,8.3
98,99,North by Northwest,1959,8.3
99,100,Eternal Sunshine of the Spotless Mind,2004,8.3
100,101,Ikiru,1952,8.3
101,102,Bicycle Thieves,1948,8.3
102,103,Lawrence of Arabia,1962,8.3
103,104,The Kid,1921,8.2
104,105,Full Metal Jacket,1987,8.2
105,106,Incendies,2010,8.2
106,107,Dangal,2016,8.2
107,108,The Apartment,1960,8.2
108,109,Double Indemnity,1944,8.2
109,110,Metropolis,1927,8.2
110,111,The Father,2020,8.2
111,112,A Separation,2011,8.2
112,113,Taxi Driver,1976,8.2
113,114,A Clockwork Orange,1971,8.2
114,115,The Sting,1973,8.2
115,116,Scarface,1983,8.2
116,117,Snatch,2000,8.2
117,118,1917,2019,8.2
118,119,Amélie,2001,8.2
119,120,To Kill a Mockingbird,1962,8.2
120,121,Toy Story 3,2010,8.2
121,122,For a Few Dollars More,1965,8.2
122,123,Pather Panchali,1955,8.2
123,124,Up,2009,8.2
124,125,Indiana Jones and the Last Crusade,1989,8.2
125,126,Heat,1995,8.2
126,127,L.A. Confidential,1997,8.2
127,128,Ran,1985,8.2
128,129,Yojimbo,1961,8.2
129,130,Die Hard,1988,8.2
130,131,Green Book,2018,8.2
131,132,Rashomon,1950,8.2
132,133,Downfall,2004,8.2
133,134,All About Eve,1950,8.2
134,135,Monty Python and the Holy Grail,1975,8.2
135,136,Some Like It Hot,1959,8.2
136,137,Batman Begins,2005,8.2
137,138,Unforgiven,1992,8.2
138,139,Children of Heaven,1997,8.2
139,140,Jai Bhim,2021,8.2
140,141,Howl's Moving Castle,2004,8.2
141,142,The Wolf of Wall Street,2013,8.2
142,143,Judgment at Nuremberg,1961,8.2
143,144,There Will Be Blood,2007,8.2
144,145,The Great Escape,1963,8.2
145,146,Casino,1995,8.2
146,147,The Treasure of the Sierra Madre,1948,8.2
147,148,Pan's Labyrinth,2006,8.1
148,149,A Beautiful Mind,2001,8.1
149,150,The Secret in Their Eyes,2009,8.1
150,151,Raging Bull,1980,8.1
151,152,Chinatown,1974,8.1
152,153,My Neighbor Totoro,1988,8.1
153,154,Shutter Island,2010,8.1
154,155,"Lock, Stock and Two Smoking Barrels",1998,8.1
155,156,No Country for Old Men,2007,8.1
156,157,Klaus,2019,8.1
157,158,Dial M for Murder,1954,8.1
158,159,The Gold Rush,1925,8.1
159,160,The Thing,1982,8.1
160,161,"Three Billboards Outside Ebbing, Missouri",2017,8.1
161,162,Dersu Uzala,1975,8.1
162,163,The Seventh Seal,1957,8.1
163,164,The Elephant Man,1980,8.1
164,165,The Sixth Sense,1999,8.1
165,166,The Truman Show,1998,8.1
166,167,Jurassic Park,1993,8.1
167,168,Wild Strawberries,1957,8.1
168,169,The Third Man,1949,8.1
169,170,Memories of Murder,2003,8.1
170,171,V for Vendetta,2005,8.1
171,172,Blade Runner,1982,8.1
172,173,Trainspotting,1996,8.1
173,174,Fargo,1996,8.1
174,175,The Bridge on the River Kwai,1957,8.1
175,176,Inside Out,2015,8.1
176,177,Finding Nemo,2003,8.1
177,178,Kill Bill: Vol. 1,2003,8.1
178,179,Warrior,2011,8.1
179,180,Gone with the Wind,1939,8.1
180,181,Tokyo Story,1953,8.1
181,182,On the Waterfront,1954,8.1
182,183,My Father and My Son,2005,8.1
183,184,Wild Tales,2014,8.1
184,185,Prisoners,2013,8.1
185,186,Stalker,1979,8.1
186,187,The Grand Budapest Hotel,2014,8.1
187,188,The Deer Hunter,1978,8.1
188,189,The General,1926,8.1
189,190,Sherlock Jr.,1924,8.1
190,191,Gran Torino,2008,8.1
191,192,Persona,1966,8.1
192,193,Before Sunrise,1995,8.1
193,194,Mary and Max,2009,8.1
194,195,Catch Me If You Can,2002,8.1
195,196,Dune,2021,8.1
196,197,Mr. Smith Goes to Washington,1939,8.1
197,198,Barry Lyndon,1975,8.1
198,199,Z,1969,8.1
199,200,In the Name of the Father,1993,8.1
200,201,Hacksaw Ridge,2016,8.1
201,202,Gone Girl,2014,8.1
202,203,Room,2015,8.1
203,204,The Passion of Joan of Arc,1928,8.1
204,205,Andhadhun,2018,8.1
205,206,Ford v Ferrari,2019,8.1
206,207,12 Years a Slave,2013,8.1
207,208,To Be or Not to Be,1942,8.1
208,209,The Big Lebowski,1998,8.1
209,210,Dead Poets Society,1989,8.1
210,211,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
211,212,Ben-Hur,1959,8.1
212,213,How to Train Your Dragon,2010,8.1
213,214,Mad Max: Fury Road,2015,8.1
214,215,Autumn Sonata,1978,8.1
215,216,Million Dollar Baby,2004,8.1
216,217,The Wages of Fear,1953,8.1
217,218,Stand by Me,1986,8.1
218,219,Network,1976,8.1
219,220,The Handmaiden,2016,8.1
220,221,Logan,2017,8.1
221,222,La Haine,1995,8.1
222,223,A Silent Voice: The Movie,2016,8.0
223,224,Cool Hand Luke,1967,8.0
224,225,Hachi: A Dog's Tale,2009,8.0
225,226,Gangs of Wasseypur,2012,8.0
226,227,The 400 Blows,1959,8.0
227,228,Platoon,1986,8.0
228,229,Spotlight,2015,8.0
229,230,"Monsters, Inc.",2001,8.0
230,231,Rebecca,1940,8.0
231,232,Life of Brian,1979,8.0
232,233,In the Mood for Love,2000,8.0
233,234,Hotel Rwanda,2004,8.0
234,235,The Bandit,1996,8.0
235,236,Rush,2013,8.0
236,237,Rocky,1976,8.0
237,238,Amores perros,2000,8.0
238,239,Into the Wild,2007,8.0
239,240,Nausicaä of the Valley of the Wind,1984,8.0
240,241,Before Sunset,2004,8.0
241,242,It Happened One Night,1934,8.0
242,243,Fanny and Alexander,1982,8.0
243,244,Demon Slayer: Mugen Train,2020,8.0
244,245,The Battle of Algiers,1966,8.0
245,246,Nights of Cabiria,1957,8.0
246,247,Drishyam,2013,8.0
247,248,Andrei Rublev,1966,8.0
248,249,Neon Genesis Evangelion: The End of Evangelion,1997,8.0
249,250,Drishyam 2,2021,8.0
